SR NO,DIVISION,SUB DIVISION,SS NAME,FEEDER,CAT,TND CODE,TOTAL CONSUMER,TOTAL TC, FULLY ON,PARTIALLY ON,FULLY OFF,,,,,
1,Lalbagh,Baranmpura,MOTIBAG,LAHRIPURA,URBAN,104402,5151,20,FALSE,FALSE,FALSE,,,,,
2,Lalbagh,Baranmpura,MOTIBAG,AZAD MEDAN,URBAN,104403,5998,35,FALSE,FALSE,FALSE,,,,,
3,Lalbagh,Baranmpura,MOTIBAG,TIN MURTI,URBAN,104404,3343,49,FALSE,FALSE,FALSE,,,,,
4,Lalbagh,Baranmpura,GAJRAWADI,GHADIYALI POLE,URBAN,104503,2850,10,FALSE,FALSE,FALSE,,,,,
5,Lalbagh,Baranmpura,GAJRAWADI,JAVAHAR,URBAN,104505,3966,36,FALSE,FALSE,FALSE,,,,,
6,Lalbagh,Baranmpura,GAJRAWADI,APSARA,URBAN,104517,2476,36,FALSE,FALSE,FALSE,,,,,
7,Lalbagh,Lalbaug,TARSALI,MAKARPURA,URBAN,30704,2784,47,FALSE,FALSE,FALSE,,,,,
8,Lalbagh,Lalbaug,TARSALI,MANJALPUR,URBAN,30705,1180,17,FALSE,FALSE,FALSE,,,,,
9,Lalbagh,Lalbaug,TARSALI,KALYANBAUG,URBAN,30715,2341,43,FALSE,FALSE,FALSE,,,,,
10,Lalbagh,Lalbaug,TARSALI,GHAGHRETIYA,URBAN,30717,3129,32,FALSE,FALSE,FALSE,,,,,
11,Lalbagh,Lalbaug,MOTIBAG,SRP,URBAN,104407,3080,39,FALSE,FALSE,FALSE,,,,,
12,Lalbagh,Lalbaug,MOTIBAG,LALBAG,URBAN,104411,2506,25,FALSE,FALSE,FALSE,,,,,
13,Lalbagh,Lalbaug,GAJRAWADI,RAILWAY,URBAN,104507,3002,41,FALSE,FALSE,FALSE,,,,,
14,Lalbagh,Lalbaug,GAJRAWADI,DANTESHWAR,URBAN,104512,7407,49,FALSE,FALSE,FALSE,,,,,
15,Lalbagh,Lalbaug,66 KV Manjalpur SS,DEEP CHAMBER,URBAN,143415,1549,30,FALSE,FALSE,FALSE,,,,,
16,Lalbagh,Lalbaug,66 KV Manjalpur SS,11 KV SITABAUG FEEDER,URBAN,309008,2682,32,FALSE,FALSE,FALSE,,,,,
17,Lalbagh,GIDC,JAMBUVA-B,VRAJDHAM,URBAN,30115,5014,68,FALSE,FALSE,FALSE,,,,,
18,Lalbagh,GIDC,JAMBUVA-B,LAXMI,URBAN,30118,3399,70,FALSE,FALSE,FALSE,,,,,
19,Lalbagh,GIDC,JAMBUVA-B,11KV GOKUL FEEDER,URBAN,30120,1428,24,FALSE,FALSE,FALSE,,,,,
20,Lalbagh,GIDC,MAKARPURA,VADSAR,GIDC,30901,103,27,FALSE,FALSE,FALSE,,,,,
21,Lalbagh,GIDC,MAKARPURA,JAYANT OIL,GIDC,30902,226,40,FALSE,FALSE,FALSE,,,,,
22,Lalbagh,GIDC,MAKARPURA,E.R.D.A.,GIDC,30903,242,46,FALSE,FALSE,FALSE,,,,,
23,Lalbagh,GIDC,MAKARPURA,VITHAJ,GIDC,30904,318,41,FALSE,FALSE,FALSE,,,,,
24,Lalbagh,GIDC,MAKARPURA,RING ROAD,GIDC,30905,214,30,FALSE,FALSE,FALSE,,,,,
25,Lalbagh,GIDC,MAKARPURA,ASHRYA (HPS),URBAN,30906,5,0,FALSE,FALSE,FALSE,,,,,
26,Lalbagh,GIDC,MAKARPURA,AIR FORCE EXP.,HTEX,30907,1,0,FALSE,FALSE,FALSE,,,,,
27,Lalbagh,GIDC,MAKARPURA,GAYATRI FEEDER,GIDC,30908,174,40,FALSE,FALSE,FALSE,,,,,
28,Lalbagh,GIDC,MAKARPURA,MARUTI,URBAN,30910,2312,26,FALSE,FALSE,FALSE,,,,,
29,Lalbagh,GIDC,MAKARPURA,MANEJA,URBAN,30912,5949,63,FALSE,FALSE,FALSE,,,,,
30,Lalbagh,GIDC,MAKARPURA,VIMAL,GIDC,30913,122,30,FALSE,FALSE,FALSE,,,,,
31,Lalbagh,GIDC,MAKARPURA,FAME,GIDC,30920,248,59,FALSE,FALSE,FALSE,,,,,
32,Lalbagh,GIDC,MAKARPURA,VASU,GIDC,30921,437,65,FALSE,FALSE,FALSE,,,,,
33,Lalbagh,GIDC,MAKARPURA,ROTEX,GIDC,30922,247,43,FALSE,FALSE,FALSE,,,,,
34,Lalbagh,GIDC,MAKARPURA,ABB(NEW),GIDC,30923,1,0,FALSE,FALSE,FALSE,,,,,
35,Lalbagh,GIDC,MAKARPURA,11 KV SHAKTI LOGESTIC,GIDC,30924,29,13,FALSE,FALSE,FALSE,,,,,
36,Lalbagh,GIDC,MAKARPURA,11 KV BARODA BUSHING,GIDC,30925,133,26,FALSE,FALSE,FALSE,,,,,
37,Lalbagh,GIDC,MAKARPURA,SKY ONYX,URBAN,30926,3045,33,FALSE,FALSE,FALSE,,,,,
38,Lalbagh,GIDC,MAKARPURA,MAKARPURA SST,SST,30999,3,1,FALSE,FALSE,FALSE,,,,,
39,Lalbagh,GIDC,MAKARPURA,ABB,EHT,104744,0,0,FALSE,FALSE,FALSE,,,,,
40,Lalbagh,GIDC,MAKARPURA,FAG,EHT,104745,0,0,FALSE,FALSE,FALSE,,,,,
41,Lalbagh,GIDC,MAKARPURA,ALSTOM (EHT),EHT,104746,0,0,FALSE,FALSE,FALSE,,,,,
42,Lalbagh,GIDC,MAKARPURA,SIMENS,EHT,104747,0,0,FALSE,FALSE,FALSE,,,,,
43,Lalbagh,GIDC,MAKARPURA-B,GHB (U.G-3) FEEDER,URBAN,143402,4836,43,FALSE,FALSE,FALSE,,,,,
44,Lalbagh,GIDC,MAKARPURA-B,G I D C U|G-II,GIDC,143403,235,26,FALSE,FALSE,FALSE,,,,,
45,Lalbagh,GIDC,MAKARPURA-B,TIRUPATI,GIDC,143406,516,65,FALSE,FALSE,FALSE,,,,,
46,Lalbagh,GIDC,MAKARPURA-B,TELE EXCHANGE(PT),GIDC,143407,318,49,FALSE,FALSE,FALSE,,,,,
47,Lalbagh,GIDC,MAKARPURA-B,KRISHNA,GIDC,143408,380,57,FALSE,FALSE,FALSE,,,,,
48,Lalbagh,GIDC,MAKARPURA-B,DIAMOND,GIDC,143409,166,37,FALSE,FALSE,FALSE,,,,,
49,Lalbagh,GIDC,MAKARPURA-B,AGNI,GIDC,143413,313,48,FALSE,FALSE,FALSE,,,,,
50,Lalbagh,GIDC,MAKARPURA-B,DURGA,URBAN,143418,234,36,FALSE,FALSE,FALSE,,,,,
51,Lalbagh,GIDC,MAKARPURA-B,11 KV MATRIX,GIDC,143419,207,23,FALSE,FALSE,FALSE,,,,,
52,Lalbagh,GIDC,MAKARPURA-B,11KV ALLIED,GIDC,143420,344,75,FALSE,FALSE,FALSE,,,,,
53,Lalbagh,GIDC,MAKARPURA-B,11 KV ECO MAN,GIDC,143421,193,37,FALSE,FALSE,FALSE,,,,,
54,Lalbagh,GIDC,MAKARPURA-B,11KV MODERN FOOD,GIDC,143422,245,51,FALSE,FALSE,FALSE,,,,,
55,Lalbagh,GIDC,MAKARPURA-B,MAKARPURA B SST,SST,143499,3,1,FALSE,FALSE,FALSE,,,,,
56,Lalbagh,GIDC,Vadsar,11 KV MADHUSAGAR,URBAN,309603,2823,36,FALSE,FALSE,FALSE,,,,,
57,Lalbagh,GIDC,Vadsar,11 KV PALMERA,URBAN,309604,3581,60,FALSE,FALSE,FALSE,,,,,
58,Lalbagh,GIDC,Vadsar,11 KV DREAM ATMAN,URBAN,309607,1901,26,FALSE,FALSE,FALSE,,,,,
59,Lalbagh,GIDC,Vadsar,11 KV HELIX,URBAN,309608,473,19,FALSE,FALSE,FALSE,,,,,
60,Lalbagh,Manjalpur,66 KV Manjalpur SS,GOYAGATE-I,URBAN,30801,2709,33,FALSE,FALSE,FALSE,,,,,
61,Lalbagh,Manjalpur,ATLADARA,GOYAGATE-II,URBAN,30802,1603,18,FALSE,FALSE,FALSE,,,,,
62,Lalbagh,Manjalpur,ATLADARA,SUNCITY,URBAN,30812,1219,37,FALSE,FALSE,FALSE,,,,,
63,Lalbagh,Manjalpur,ATLADARA,11 KV SURYADARSAN,URBAN,30819,1458,33,FALSE,FALSE,FALSE,,,,,
64,Lalbagh,Manjalpur,MAKARPURA-B,AMBE,URBAN,143401,5686,28,FALSE,FALSE,FALSE,,,,,
65,Lalbagh,Manjalpur,MAKARPURA-B,TULSIDHAM,URBAN,143405,2118,27,FALSE,FALSE,FALSE,,,,,
66,Lalbagh,Manjalpur,MAKARPURA-B,NANDANVAN,URBAN,143410,1933,41,FALSE,FALSE,FALSE,,,,,
67,Lalbagh,Manjalpur,MAKARPURA-B,SHRIKUNJ,URBAN,143416,2385,38,FALSE,FALSE,FALSE,,,,,
68,Lalbagh,Manjalpur,66 KV Manjalpur SS,11 KV AMERAPALI FEEDER,URBAN,309001,1836,25,FALSE,FALSE,FALSE,,,,,
69,Lalbagh,Manjalpur,66 KV Manjalpur SS,11 KV SARASWATI,URBAN,309002,5889,29,FALSE,FALSE,FALSE,,,,,
70,Lalbagh,Manjalpur,66 KV Manjalpur SS,11 KV LAXMINARAYAN FEEDER,URBAN,309003,1944,31,FALSE,FALSE,FALSE,,,,,
71,Lalbagh,Manjalpur,66 KV Manjalpur SS,11 KV WATER TANK FEEDER,URBAN,309004,3063,37,FALSE,FALSE,FALSE,,,,,
72,Lalbagh,Manjalpur,66 KV Manjalpur SS,11 KV MANJALPUR SST,SST,309005,2,1,FALSE,FALSE,FALSE,,,,,
73,Lalbagh,Manjalpur,66 KV Manjalpur SS,11KV HARIDHAM FEEDER,URBAN,309006,1530,25,FALSE,FALSE,FALSE,,,,,
74,Lalbagh,Manjalpur,66 KV Manjalpur SS,11 KV GANSHAYAM,URBAN,309007,1621,22,FALSE,FALSE,FALSE,,,,,
75,Lalbagh,Tarsali,JAMBUVA-B,HAVELI ( TARSALI SDN),URBAN,30119,5256,82,FALSE,FALSE,FALSE,,,,,
76,Lalbagh,Tarsali,TARSALI,BARODA DAIRY,HTEX,30701,1,0,FALSE,FALSE,FALSE,,,,,
77,Lalbagh,Tarsali,TARSALI,ONGC-2,HTEX,30702,1,0,FALSE,FALSE,FALSE,,,,,
78,Lalbagh,Tarsali,TARSALI,GOLD CITY,URBAN,30703,3811,73,FALSE,FALSE,FALSE,,,,,
79,Lalbagh,Tarsali,TARSALI,HIGHWAY,URBAN,30706,4430,59,FALSE,FALSE,FALSE,,,,,
80,Lalbagh,Tarsali,TARSALI,PRESSURE TANK,URBAN,30708,3971,26,FALSE,FALSE,FALSE,,,,,
81,Lalbagh,Tarsali,TARSALI,TARSALI GAM,URBAN,30709,2597,41,FALSE,FALSE,FALSE,,,,,
82,Lalbagh,Tarsali,TARSALI,RAMBAUG (GIDC O.H),URBAN,30710,3210,33,FALSE,FALSE,FALSE,,,,,
83,Lalbagh,Tarsali,TARSALI,UMA-2,URBAN,30711,4818,59,FALSE,FALSE,FALSE,,,,,
84,Lalbagh,Tarsali,TARSALI,NOVINO,URBAN,30712,2101,25,FALSE,FALSE,FALSE,,,,,
85,Lalbagh,Tarsali,TARSALI,O N G C-1,HTEX,30713,1,0,FALSE,FALSE,FALSE,,,,,
86,Lalbagh,Tarsali,TARSALI,SUSEN,URBAN,30714,2434,30,FALSE,FALSE,FALSE,,,,,
87,Lalbagh,Tarsali,TARSALI,SAKAR,URBAN,30716,3377,67,FALSE,FALSE,FALSE,,,,,
88,Lalbagh,Tarsali,TARSALI,MANOKAMNA,URBAN,30718,2974,44,FALSE,FALSE,FALSE,,,,,
89,Lalbagh,Tarsali,TARSALI,MANHAR PARK URBAN,URBAN,30719,1605,20,FALSE,FALSE,FALSE,,,,,
90,Lalbagh,Tarsali,TARSALI,11 KAMDHENU,URBAN,30721,2288,41,FALSE,FALSE,FALSE,,,,,
91,Lalbagh,Tarsali,TARSALI,11 KV BANSAL,URBAN,30722,931,14,FALSE,FALSE,FALSE,,,,,
92,Lalbagh,Tarsali,TARSALI,TARSALI SST,SST,30799,4,1,FALSE,FALSE,FALSE,,,,,
93,Lalbagh,Tarsali,MAKARPURA-B,NILKANTH(TARSALI),URBAN,143414,2998,40,FALSE,FALSE,FALSE,,,,,
94,Lalbagh,Tarsali,MAKARPURA-B,NITYANAND URBAN,URBAN,143417,2476,30,FALSE,FALSE,FALSE,,,,,
95,Lalbagh,Wadi,GAJRAWADI,CHANDAN (DABHOI RD),URBAN,104501,6245,61,FALSE,FALSE,FALSE,,,,,
96,Lalbagh,Wadi,GAJRAWADI,RANMUKTESHWER,URBAN,104502,3223,28,FALSE,FALSE,FALSE,,,,,
97,Lalbagh,Wadi,GAJRAWADI,WADI,URBAN,104504,1386,34,FALSE,FALSE,FALSE,,,,,
98,Lalbagh,Wadi,GAJRAWADI,BHAVANIKUNJ,URBAN,104506,4785,29,FALSE,FALSE,FALSE,,,,,
99,Lalbagh,Wadi,GAJRAWADI,JAHANGIRPURA,URBAN,104508,5639,23,FALSE,FALSE,FALSE,,,,,
100,Lalbagh,Wadi,GAJRAWADI,KAPURAI,URBAN,104510,5321,104,FALSE,FALSE,FALSE,,,,,
101,Lalbagh,Wadi,GAJRAWADI,GANESH NAGAR,URBAN,104513,4799,86,FALSE,FALSE,FALSE,,,,,
102,Lalbagh,Wadi,GAJRAWADI,RAMCHOCK,URBAN,104516,4553,11,FALSE,FALSE,FALSE,,,,,
103,Lalbagh,Wadi,WAGHODIAROAD,SUVARNBHUMI,URBAN,143309,5804,74,FALSE,FALSE,FALSE,,,,,
104,Lalbagh,Wadi,WAGHODIAROAD,KANHA,URBAN,143313,1482,23,FALSE,FALSE,FALSE,,,,,
105,Vishwamitri-East,Dandia Bazar,NAVLAKHI R|S,MARKET,URBAN,32401,4023,16,FALSE,FALSE,FALSE,,,,,
106,Vishwamitri-East,Dandia Bazar,NAVLAKHI R|S,DHARMSHALA,URBAN,32402,177,3,FALSE,FALSE,FALSE,,,,,
107,Vishwamitri-East,Dandia Bazar,NAVLAKHI R|S,CENTRAL JAIL,URBAN,32403,446,15,FALSE,FALSE,FALSE,,,,,
108,Vishwamitri-East,Dandia Bazar,NAVLAKHI R|S,SSG,URBAN,32404,418,12,FALSE,FALSE,FALSE,,,,,
109,Vishwamitri-East,Dandia Bazar,NAVLAKHI R|S,GROUND,URBAN,32405,14,5,FALSE,FALSE,FALSE,,,,,
110,Vishwamitri-East,Dandia Bazar,NAVLAKHI R|S,POLICE BHAVAN,URBAN,32412,23,4,FALSE,FALSE,FALSE,,,,,
111,Vishwamitri-East,Dandia Bazar,NAVLAKHI R|S,GAS OFFICE,URBAN,32415,1307,5,FALSE,FALSE,FALSE,,,,,
112,Vishwamitri-East,Dandia Bazar,NAVLAKHI R|S,NAVLAKHI SST,SST,32499,11,1,FALSE,FALSE,FALSE,,,,,
113,Vishwamitri-East,Dandia Bazar,MOTIBAG,NAVRANG,URBAN,104401,3201,31,FALSE,FALSE,FALSE,,,,,
114,Vishwamitri-East,Dandia Bazar,MOTIBAG,KALABHUVAN,URBAN,104405,4817,29,FALSE,FALSE,FALSE,,,,,
115,Vishwamitri-East,Dandia Bazar,MOTIBAG,SURSAGAR,URBAN,104408,1260,12,FALSE,FALSE,FALSE,,,,,
116,Vishwamitri-East,Dandia Bazar,MOTIBAG,SOUTH RING,URBAN,104410,4553,34,FALSE,FALSE,FALSE,,,,,
117,Vishwamitri-East,Dandia Bazar,MOTIBAG,CHIMANBAUG,URBAN,104412,2288,26,FALSE,FALSE,FALSE,,,,,
118,Vishwamitri-East,Indrapuri,KHATAMBA,JAGDISH,URBAN,30407,932,35,FALSE,FALSE,FALSE,,,,,
119,Vishwamitri-East,Indrapuri,KHATAMBA,VALLABHNAGAR,URBAN,30408,8276,105,FALSE,FALSE,FALSE,,,,,
120,Vishwamitri-East,Indrapuri,KHATAMBA,PUSHTIPRABHA,URBAN,30409,4790,67,FALSE,FALSE,FALSE,,,,,
121,Vishwamitri-East,Indrapuri,KHATAMBA,L&T SEZ,HTEX,30411,1,0,FALSE,FALSE,FALSE,,,,,
122,Vishwamitri-East,Indrapuri,KHATAMBA,L & T EXPRESS,HTEX,30445,1,0,FALSE,FALSE,FALSE,,,,,
123,Vishwamitri-East,Indrapuri,WAGHODIAROAD,WAGHODIYA ROAD,URBAN,31007,2854,42,FALSE,FALSE,FALSE,,,,,
124,Vishwamitri-East,Indrapuri,INDRAPURI,SHREEHARI,URBAN,31018,2961,16,FALSE,FALSE,FALSE,,,,,
125,Vishwamitri-East,Indrapuri,INDRAPURI,TULSI,URBAN,31026,4411,83,FALSE,FALSE,FALSE,,,,,
126,Vishwamitri-East,Indrapuri,INDRAPURI,KISMAT,URBAN,31046,1904,22,FALSE,FALSE,FALSE,,,,,
127,Vishwamitri-East,Indrapuri,WAGHODIAROAD,UMA,URBAN,143301,2713,30,FALSE,FALSE,FALSE,,,,,
128,Vishwamitri-East,Indrapuri,WAGHODIAROAD,GURUKUL,URBAN,143302,1689,18,FALSE,FALSE,FALSE,,,,,
129,Vishwamitri-East,Indrapuri,WAGHODIAROAD,SWIMMING POOL,URBAN,143303,1949,23,FALSE,FALSE,FALSE,,,,,
130,Vishwamitri-East,Indrapuri,WAGHODIAROAD,VAIKUNTH,URBAN,143304,3167,27,FALSE,FALSE,FALSE,,,,,
131,Vishwamitri-East,Indrapuri,WAGHODIAROAD,SHREEJI,URBAN,143306,3339,32,FALSE,FALSE,FALSE,,,,,
132,Vishwamitri-East,Indrapuri,WAGHODIAROAD,BALAJI,URBAN,143307,5134,114,FALSE,FALSE,FALSE,,,,,
133,Vishwamitri-East,Indrapuri,WAGHODIAROAD,TIRTH,URBAN,143308,2734,57,FALSE,FALSE,FALSE,,,,,
134,Vishwamitri-East,Indrapuri,WAGHODIAROAD,MANKI,URBAN,143310,2525,23,FALSE,FALSE,FALSE,,,,,
135,Vishwamitri-East,Indrapuri,WAGHODIAROAD,KALYAN,URBAN,143312,4009,51,FALSE,FALSE,FALSE,,,,,
136,Vishwamitri-East,Indrapuri,WAGHODIAROAD,WAGHODIA ROAD SST,SST,143399,3,1,FALSE,FALSE,FALSE,,,,,
137,Vishwamitri-East,Indrapuri,SAYAJIPURA,ANANTA,URBAN,310007,1839,52,FALSE,FALSE,FALSE,,,,,
138,Vishwamitri-East,Indrapuri,SAYAJIPURA,KAILASH,URBAN,310008,3305,44,FALSE,FALSE,FALSE,,,,,
139,Vishwamitri-East,Karelibaug,HARNI,ISHWAR SHANTI,URBAN,104302,2190,21,FALSE,FALSE,FALSE,,,,,
140,Vishwamitri-East,Karelibaug,HARNI,P & T,URBAN,104303,1649,25,FALSE,FALSE,FALSE,,,,,
141,Vishwamitri-East,Karelibaug,HARNI,KARELI BAUG,URBAN,104306,2357,30,FALSE,FALSE,FALSE,,,,,
142,Vishwamitri-East,Karelibaug,HARNI,BRIGHT FEEDER,URBAN,104307,1901,25,FALSE,FALSE,FALSE,,,,,
143,Vishwamitri-East,Karelibaug,HARNI,V.I.P.ROAD,URBAN,104308,2707,34,FALSE,FALSE,FALSE,,,,,
144,Vishwamitri-East,Karelibaug,HARNI,AMRAPALI,URBAN,104310,1513,26,FALSE,FALSE,FALSE,,,,,
145,Vishwamitri-East,Karelibaug,HARNI,BSNL,URBAN,104311,1454,31,FALSE,FALSE,FALSE,,,,,
146,Vishwamitri-East,Karelibaug,HARNI,SHRIJI SHRADDHA,URBAN,104312,1790,20,FALSE,FALSE,FALSE,,,,,
147,Vishwamitri-East,Karelibaug,HARNI,TULSIWADI (VRUNDAVAN),URBAN,104315,3656,24,FALSE,FALSE,FALSE,,,,,
148,Vishwamitri-East,Karelibaug,HARNI,HARNI SST,SST,104399,6,1,FALSE,FALSE,FALSE,,,,,
